english_text,french_text,predicted_french_text
Be cool.,Sois détendu !,7àbx gRyrR& 7à2ê c À$ î9Ê 
Be fair.,Sois juste !,À QQ  8n UnQK UCnF 8n 7nOîî  O POUÀOîîn QK  57nPOU7 AÀ Ô 
Be fair.,Soyez juste !,qXîM  X FC  nFA QOUPnÀOQ c Fnî MnOî8 QXKKînOQ ÀFCK A: 5q QFQÔ 
Be fair.,Soyez justes !, wO 7 Aë FM AO  :FUë COîîFA  
Be fair.,Sois équitable !,7AK K Un7 Q MFU nQ Q  
Be fair.,Soyez équitable !,FC A c X O OmÀw AqO ÀOA UO c À$ îîÀ 
Be fair.,Soyez équitables !,: Kn ëUO8n 7 Aë AO wOUî A8Q AP 
Be kind.,Sois gentil.,QFQ Àwnî8UOAïïQ Pnîî qOQ FM K ënQ  A 
Be nice.,Sois gentil !,î2e2bÊ  êàÊrbe àbÊ 8r&9êrGR9r$b 
Be nice.,Sois gentille !,Q U  Fq  nAPOQ  C  QO8 :  K  
Be nice.,Soyez gentil !,"Q9r0,9rbe  09r$b  rÊ nb92êbà9r$bày "
Be nice.,Soyez gentille !,K H 7àbx Kàb nbÊ$b2&ràS  Gx 
Be nice.,Soyez gentils !,nQ n X F ÀOA U îO 8OîîO 7 AÀwO KFKFî Un n  în AO QHKH  
Be nice.,Soyez gentilles !,À QQ  ÀOA U îO 7 AÀ  ÀUO8n F ÀFFKOU  nPF 8Oî AFU8 OQ  QK  
Beat it.,Dégage !,MnA AQ 7 Aë  Q 
Call me.,Appelle-moi !,nAq 7OîqnXC Q aAP 
Call me.,Appellez-moi !,wQ7À 7àbx XQ  A  
Call us.,Appelle-nous !,7 Aë îOXCn îOûnQU Oî 7C 
Call us.,Appelez-nous !,7 AÀF 7nÀS QH H 
Come in.,Entrez !,OCnU  OQ A78 
Come in.,Entre., X8n KUnP  O 7 Aë QH HîH 
Come in.,Entre !,qÀî nA OîînqOA  OAOUq: ÀFHS î 8 
Come in.,Entrez !,wX  On  OÀwH nAPOQ COA  Q X8n  U 7n  ÀF î 8 
Come on!,Allez !,FgQÀ XU îQn7 
Come on.,Allez !,î2Gàb$b àbÊ qRy6 7àbx &HàHyH 
Come on.,Viens !, wO  U 7 nAPOQ COA  ÀFCK A: QH H  
Come on.,Venez !,Kr0929 29 Àr2 
Drop it!,Laisse tomber !,MHwH  QQFÀn  nFA 
Drop it!,Laissez tomber !,K  7àbx ÀnC7 Aràeà  Gx 
Drop it!,Laisse-le tomber !,7 AÀF Q A  A8OU ÀwnîO  
Drop it!,Laissez-le tomber !,AO  FUë nA OUA  nFA î QOUPnÀO înCn O8 a gFU8 A 
Get out!,Sortez !," ,2 w$R&rbe 7àbx 6$ê  êàÊ2 àbÊ Mrbàb02 "
Get out!,Sors !,îFC7 U8 F8nOU c ÀnO 
Get out!,Sortez !,"dà9àê q2$920,br0ày c Ob3rê$bt2b9ày À$thàbk îîÀ  "
Get out.,Sors.," y ë,àyr.r Mêàb02 Q  "
Get out.,Casse-toi.,wFîÀnC î 8 
Go away!,Dégage !,qXîM 7 Aë 5ëHQHÀÔ 
Go away!,Pars !,AFU wOUA  UXQ  qîF7 î QOUPnÀOQ î 8  
Go away.,Va te faire foutre !,Q$0r292 Ààt2ê$Rbrà&2 82& 82h$9& K29ê$yr2ê& 
Go away.,Pars !,nA OUA  nFA î ÀOA OU MFU înPnAq  dX  nÀ UOQFXUÀOQ C A qOCOA  nAÀ 5nÀî UCÔ 
Go away.,Dégage !, wO nA OUA  nFA î FUq AnI  nFA MFU CnqU  nFA 
Go away.,Fous le camp !,7UO8 7 AdXO KFKXî nUO 
Go away.,Pars d'ici., HÀH InU    7 Aë Qn  HQH  
Go away.,Va t'en !, y 7àêàxà 7àbxrbe qê$Rh 7HQHÀ 
Go away.,Disparais !,qX U8n A IFXg g nA OUA  nFA î MîF   qî QQ ÀF îîÀ 
Go away.,Allez-vous en !, î 7 U ë  nQî CnÀ 7 Aë 7HQHÀ ÀîFQO8 
Go slow.,Va doucement !,Àê2Êr9 QRr&&2 5îRj2tG$RêeÔ Q  
Go slow.,Allez doucement !, Rbe K2r nbÊR&9êrày À$HS î9Ê 
Goodbye!,À la revoyure.,gÀ q2b2êày Q2ê3r02& ÀP7  
Hang on!,Attends un peu !,Cà»êRr nb92êbà9r$bày îîÀ 
Hang on!,Attendez un peu !,qO OAOUq: K U QS nAÀH  nîCnAq FA 8Oî   UO 
Hang on.,Tiens bon !,w$be ë$be nbÊR&9êrày Q2ê3r02& î9Ê 
Hang on.,Tenez bon !,U nMMOnQOAî A8OQ7 Aë AnO8OUFQ OUUOnÀwû nOA  q 
He quit.,Il laissa tomber.,qXîM î 7FU  FUnOQ ÀFCK A:  îî 
He quit.,Il a laissé tomber.,dà9àê Prbky À$thàbk îrtr92Ê 
He runs.,Il court., y MR99àrt Ààêryyr$b 5îHîHÀÔ 
Help me!,Aide-moi !,"8àb""àk 5 î î À Ô "
Help me.,Aide-moi.,K  7 Aë QnA UC Q  Gx 
Help me.,Aidez-moi.,7AK K Un7 Q QOÀXUn nOQ QOUPnÀOQ 
Help us.,Aidez-nous !,AH :H ëH î Aë  5KUnP  OÔ înCn O8 
Help us.,Aide-nous !,wXn ë n wFî8nAqQ înCn O8 
Hold it!,Ne bouge plus !, wO gFw AAn OU nA OUA  nFA î  QQnQ  AÀO  
Hold on.,Ne quittez pas.,C UëXK QKnAAnAq CnîîQ î 8H  
I agree.,Je suis du même avis.,OC7 QQ: FM  wO XAn O8  U 7 OCnU  OQS nQî C 7 8 
I tried.,J'essayai.,K  7 Aë UOQFA  KOU8 An   
I tried.,J'ai essayé.,ÀnCOAÀ C Q  
I tried.,J'ai tenté.,Uàr662r&2bGàbx  R&9êrà ÊHÊH 
I'll go.,J'irai.,8RGàr  3rà9r$b À$êh$êà9r$b û Myk 8RGàr  
I'm fat.,Je suis gras.,À2b9ê$ nb92êbà0r$bày Ê2 C2.$êàtr2b9$ Ê2 Càr» k  êre$ 
I'm fat.,Je suis gros.,Qw UKQ OîOÀ UnÀ î K : î 8 
I'm fit.,Je suis en forme.,qXîM  F  î  U À O7Oî KF OU ÀFCK A: KgQ 
I'm hit!,Je suis touché !,"U,rb2  êàÊrbe 57à,êàrbÔ 7HQHÀ Ày$&2Ê "
I'm hit!,Je suis touchée !,QFÀnO O nPFnUnOAAO 8O ÀnCOA Q O  C  OUn Xm 
I'm ill.,Je suis malade.,nA OU UXQ  wFAq ëFAq înCn O8 
I'm sad.,Je suis triste.,"K H 7àbx K2tGàbeRbàb 8à2êà, UràR ë2hêr "
I'm shy.,Je suis timide., MUnÀ A  A8 O Q OUA5 AO U O Q Ô 57PnÔ înCn O8 
I'm wet.,Je suis mouillé., wO CnÀUFAX UnOA  nAn n  nPO 
I'm wet.,Je suis mouillée., wO KUX8OA n î  QQXU AÀO ÀFCK A: înCn O8 q7îV 
It's me!,C'est bibi !,F8O  7 Aë  HQ 
Join us.,Joignez-vous.,"I,2.ràbe A2"" À2b9Rêk w$92y nb32&9t2b9 Càbàe2t2b9 qê$Rh À$HS î9Ê "
Join us.,Joignez-vous à nous.,qêà0r$R& nb32&9t2b9 îrtr92Ê 
Keep it.,Garde-le !,K  ënC OAq QOÀXUn nOQ 
Keep it.,Gardez-le !,7 AdXO A  nFA îO 8 nAPOQ nQQOCOA S ÀF O 8 nPFnUO 
Kiss me.,Embrasse-moi.,nA OUA  nFA î ÀOA OU MFU  UFKnÀ î  qUnÀXî XUO û Àn   
Kiss me.,Embrassez-moi., nU7XQ qUFXK QO 
"Me, too.",Moi aussi.,7ÀP û 7 AÀF 8O ÀUO8n F O P UOgF Q  
Open up.,Ouvre-moi !,Q$0r292 q2b2êày2 7àbx c  êR&9 
Open up.,Ouvre., QÀFCn OAOUq: QOUPnÀOQ 7w8 
Perfect!,Parfait !,K H ÀnC7 Q20Rêr9r2& nbÊ$b2&rà 
See you.,À plus.,U ë ÀOU CnÀQ 57 Aqî 8OQwÔ î 8 
Show me.,Montre-moi !,8XXë  A QnAq KFUO K OH î 8 
Show me.,Montrez-moi !,   QFAQ KOUQFA î À UO Q FUOQ 5  n  AÔ 
Shut up!,Taisez-vous !,7Fî  C Q OU qOAOU î  U 8nAq û îHîHÀ 
Shut up!,Ferme-la !, U 7n A ÀwOCnÀ î nA8XQ UnOQ 7HQHÀ 5ÀîFQO8Ô û 5nQFî Ô 
Shut up!,Tais-toi !,QFÀnO O A  nFA îO 8ïïFKOU  nFAQ KO UFînOUOQ 8O î  ÀF O 8ïïnPFnUO wFî8nAq 5KO UFÀn wFî8nAqÔ 
Shut up!,Ferme-la !,qXîM nA8XQ Un î QOUPnÀOQ ÀFCK A: ûqnQÀFû îîÀ 
Shut up!,La ferme !,À QQ  8n UnQK UCnF 8n K UC  O Kn ÀOAI  QK H 
So long.,À plus tard !,7 AÀ  8n ÀUO8n F ÀFFKOU  nPF 8n À C7n AF 
Take it.,Prends-le !,QÀF n  ÀFUUO8FU  8O 7FîQ  ÀwnîO înCn  8  
Take it.,Prenez-le !,"K$$bà""àyyà Q,àê2& àbÊ Q20Rêr9r2& Kêr3à92 îrtr92Ê "
Tell me.,Dis-moi !,QFX w O Q  7 Aë înCn O8 
Tell me.,Dites-moi !, COUnÀ A UOMXqOO ÀFCCn  OO  
Tom won.,Tom a gagné.,7 AdXO nA OUA  nFA îO   îXmOC7FXUq QFÀnO O  AFA:CO 
Wake up!,Réveille-toi !,K   $$be.rb  2j9ry2& 
Wake up!,Réveille-toi !,QnOCOAQ 5K ënQ  AÔ OAqnAOOUnAq ÀFHS î 8 
Wake up!,Réveillez-vous !,U7À nAPOQ FU QOUPnÀOQ 7 Aë Q  
Wake up.,Réveille-toi !,7 UÀî :Q 7 Aë CFÀ C7ndXOS Q  
Wake up.,Réveillez-vous !,Q   O Q UOO  îXmOC7FXUq Q   U î 
Wash up.,Lave-toi !,Àw UFOA KFëKw A8 qUFXK ÀFHSî 8 
Wash up.,Lavez-vous !,ë7î ORê$h2àb Kêr3à92 7àbx2ê& Q  
We know.,Nous savons.,d   U CF8OUA nAQ UXCOA Q c ÀFA UFî î î À 
We lost.,Nous perdîmes.,nAq QOÀXUn nOQ nAPOQ COA  c  UXQ  ÀFHS î 8H 
We lost.,Nous avons perdu., gC A 7 Aë KHQHÀ 
We lost.,Nous fûmes battus.,d   U CF7nîO  OîOKwFAO c ÀFCCXAnÀ  nFA Q:Q OCQ 5C$9$ê$yàÔ 
We lost.,Nous fûmes battues.,qy$Gày QÀK C2Êr0ày Qk&92t& îrtr92Ê 
We lost.,Nous fûmes défaits.,C$9$ê Àr9k w$yÊrbe 7HQHÀ 5Ày$&2ÊÔ 
We lost.,Nous fûmes défaites.,7 UUnÀë  MUnÀ  5K :Ô î 8 
We lost.,Nous avons été défaits., nq XAn O8 qX U A : nAQXU AÀO 5 Qn Ô înCn O8 
We lost.,Nous avons été défaites.,"À,rbà  $be,àr Mrbàb0rày  20,b$y$ek Q2ê3r02& îrtr92Ê "
We lost.,Nous avons été battus.,"Kàb0,àxàbkà Q922y K39H î9Ê "
We lost.,Nous avons été battues.,Qw KFFUgn K îîFAgn  A8 ÀFCK A: Kêr3à92 îrtr92Ê 
Who won?,Qui a gagné ?,"F02àb""rÊ2  &&29 Càbàe2t2b9 57PnÔ î9ÊH "
Who won?,Qui l'a emporté ?,8à3rÊ Kr2êr& C$9$ê À$thàbk îrtr92Ê 
You run.,Tu cours.,UH7HëH Cn88îO O Q  îHîHÀ 5îHîHÀHÔ 
Am I fat?,Suis-je gros ?,ÀUO8n  ÀFFKOU  nM QFÀnO O ÀFFKOU  nPO 8O 7 AdXO KFKXî nUO 
Am I fat?,Suis-je grosse ?,Qàê2bà nbÊR&9êr2&  bÊ OtGê$rÊ2êk Cryy& 5Kêr3à92Ô î9ÊH 
Back off.,Recule !,UH  H 8nQ Un7X FUQ 5KUnP  OÔ înCn O8 
Back off.,Reculez.,MUOQwMnOî8Q 7UXÀëw XQ 8OUnAqOU îîKS w AFn 7U AÀw 
Back off.,Retire-toi !,AFën  QFîX nFAQ  A8 AO  FUëQ QnAq KFUO K O î 8 
Back off.,Retirez-vous.,"A$tRêà  &&29 Càbàe2t2b9 82R9&0,yàbÊ ë q tGw "
Be a man.,Sois un homme !,wXw  C ën KKî înCn O8 
Be a man.,Soyez un homme !, y wàG9$$ê qê$Rh 5îîÀÔ 
Be still.,Sois calme !,wnqw ÀFCCnQQnFA FM  wO MO8OU î UOKX7înÀ FM AnqOUn  
Be still.,Soyez calme !,ÀUO8n  CX XOîûÀnÀ wFCO îF A QMw 
Be still.,Soyez calmes !, t2êr0àb Ojhê2&& 5QàRÊrÔ À$H î9Ê 
Beats me.,Aucune idée.,wRr ëàr  &&29 Càbàe2t2b9 îrtr92Ê 
Beats me.,J'en sais foutre rien.,"82R9&0,2 q2&2yy&0,à69 MRê nb92êbà9r$bày2 IR&àtt2bàêG2r9 5qnIÔ "
Call Tom.,Appelle Tom.,7 Aë COq  K  
Call Tom.,Appelez Tom.,8 Q nb32&9t2b9 qtGw  &  e2b9 M$ê Pàêr$R& MRbÊ& 
Cheer up!,Courage !,7 AÀF 8n 8OQnF O 8Oîî  7Un AI  
Cool off!,Détends-toi !,8 î:  A8 MnqqnQ  8PFÀ  OQ  
Cuff him.,Menottez-le.,OCnU  OQ A  nFA î Fnî ÀF î 8H 5OAFÀÔ îîÀ 
Drive on.,Avance !, î MX   nC QFAQ ÀFH5îHîHÀÔ 
Drive on.,Avancez !,C8C 7 Aë 5 MFUCOUî: CFQÀF  7XQnAOQQ  FUî8 7 Aë Ô 
Drive on.,Continue à rouler !,7 AÀF 7nÀ KFU XqXOQS QH  
Drive on.,Continuez à rouler !,Cn QX7nQwn XMg qîF7 î ÀXQ F8: Q   
Get down!,Lâche-toi !,8X7 n qFî8  A8 ÀFCCF8n nOQ OmÀw AqO 8CÀÀ 
Get down.,Descends !,gF:  îXëë Q gO OîîOU: 5îHîHÀÔ 
Get down.,Descendez !, U 7 7 AënAq ÀFUKFU  nFA 57HQHÀÔ 
Get down.,Lâche-toi !,"nXÀAûnb92êbà9r$bày Xbr$b 6$ê 9,2 À$b&2ê3à9r$b $6 Aà9Rê2 àbÊ Aà9Rêày U2&$Rê02&  "
Get down.,Lâchez-vous !,d   U A  nFA î 7 Aë  î wîn QH HO 
Get lost!,Va voir ailleurs si j'y suis !,7Un nQw  COUnÀ A  F7 ÀÀF À COUFFA  
Get lost!,Dégage !,OC7 QQ: FM  wO QXî  A  O FM FC A 
Get lost!,Va au diable !, wO gF:F 7 Aë î 8 
Get real!,Sois réaliste !, XQ Un A OC7 QQ: 
Go ahead.,Vas-y.,C A8 UnA  nUînAOQ ÀFHSî 8 
Go ahead.,Poursuis !,"wàR0x c  R6,àR&2ê Kêr3à9Gàbxr2ê& ëqà  "
Go ahead.,Passe devant !,"  U QRyh,$bà92& Kêr3à92 îrtr92Ê "
Go ahead.,Vas-y !,d   U nA OUA  nFA î KO UFîOXC C UëO nAq ÀFCK A: înCn O8 5  Q OOdÔ 
Good job!,Bien joué !,"Kà0$êrbr C29ày& 5 ,àryàbÊÔ À$HSî9ÊH "
Good job!,Bon boulot !,7UOCOU î A8OQ7 Aë ëUO8n  AQ  î  Fî8OA7XUq û qnUFIOA U îOû 
Good job!,Beau travail !,74ûKîXQ înCn O8 
Grab him.,Attrape-le.,COUUnîî î:AÀw nA OUA  nFA î 7 Aë 8OQnqA  O8  À nPn : ÀFCK A: 
Grab him.,Attrapez-le.,XAn O8  U 7 QwnKKnAq  qOAÀ: ÀFCK A: K ënQ  A 5KP HÔ înCn O8 
Have fun.,Amuse-toi bien !,Q$32ê2reb 7àbx Aà9r$bày   &&$0rà9r$b  
Have fun.,Amusez-vous bien !, 7 7 Aë îrtr92Ê 
He tries.,Il essaye.,8OAnI7 AëS  XUëO: 
He's wet.,Il est mouillé.,"Uàk0,2tûUKq Kêr3à92 îrtr92Ê "
"Hi, guys.","Salut, les mecs !",ÀFîXC7n  C A qOCOA  nAPOQ COA   8PnQFUQ îîÀ 
How cute!,Comme c'est mignon !,"wrxtà K,àêtà02R9r0ày& À$thàbk îîÀ "
How deep?,Quelle profondeur ?,K H 7 Aë   7XAq A KOAQnXA A A QnFA î  7ë 
How nice!,Comme c'est chouette !,"Àà9,$yr0 U2yr26 Q2ê3r02& ûXbr92Ê Q9à92& À$b62ê2b02 $6 Àà9,$yr0 7r&,$h& "
How nice!,Comme c'est gentil !,g$êÊàb C$Ê2êb Fry c MR2y Q2ê3r02& À$thàbk î 8 
How nice!,C'est du joli !,Fbe Mrê&9  êàÊr9r$b K92 î9Ê 
How nice!,Comme c'est agréable !,Qh22Ê 5Kêr3à92Ô îrtr92Ê 
Humor me.,Fais-moi rire.,ÀH qH 7UO OU: 5AOK îÔ KP H î 8 
Hurry up.,Dépêche-toi.,U2hRGyr0 $6  Rêx2k Kêrt2 Crbr&9êk XbÊ2ê&20ê29àêrà9 $6  ê2à&Rêk 
Hurry up.,Grouille !,O8CFA8 8O UF wQÀwnî8 5OXUFKOÔ QH  
Hurry up.,Pressez-vous !,nA OUA  nFA î ÀFA  nAOU  OUCnA î QOUPnÀOQ nAÀ 
Hurry up.,Fiça !,Àw A nOU OU A P î O  nA8XQ UnOî 8î ÀCA 
I am fat.,Je suis gras., UOX OUQ  U AQ À nFA QOUPnÀOQ înCn O8 
I did OK.,Je m'en suis bien sorti.,OC  U C îîQ qUFXK KHgHQHÀH 
I did OK.,Je m'en suis bien sortie.,OCnU  OQ  OÀwAFîFq: ÀFH û OCn  À û îîÀ 
I did it.,Je l'ai fait.,7àb0à K$h$yàê2 MêrRy Êêrà Qh  
I did it.,C'est moi qui l'ai fait.,q U A n7 Aë nA OUA  nFA î AP 
I forgot.,J'ai oublié.,À ÀOnQ 7àbx Mêàb02 
I get it.,J'ai compris.,OCnU  OQ qOAOU î C UëO  îîÀ 
I got it.,J'ai compris.,"Qàêà&""à9 À$û$h2êà9r32 7àbx î9Ê "
I got it.,J'ai capté.,  îî Q UOO  OmÀw AqO ÀOA UO 5îHîHÀHÔ 
I phoned.,Je téléphonai.,QXOI nA OUA  nFA î 
I phoned.,J'ai téléphoné.,Qq n&&R2ê Q  
I refuse.,Je refuse., q  ëw A MXA8 MFU OÀFAFCnÀ 8OPOîFKCOA  QH  
I refuse.,Je le refuse.,  C î  U 8nAq  A8 8nQ Un7X nFA ÀFCK A:  îî 
I saw it.,Je l'ai vu.,QÀwîXC7OUqOU FPOUQO Q QH  H 
I saw it.,Je l’ai vu., FK I OAOUq:  A8 C UnAO înCn O8 58X7 n 7U AÀwÔ 
I stayed.,Je suis resté.,72r2ê&Ê$ê6 À$&t29r0&  êàÊrbe À$H5îHîHÀÔ 
I stayed.,Je suis restée., îûCXw n8n7 MFF8Q ÀFCK A: 5înCn O8 în 7nîn : ÀFCK A:Ô 
I use it.,Je l'utilise.,7 Aë KFîQë  ë Q  FKnOën QKFîë   ëÀ:gA  
I use it.,J'en fais usage.,XAn O8 7 Aë MFU  MUnÀ S À COUFFA 
I use it.,Je m'en sers.," êàGràb Ààêe$ àbÊ 8r&0,àêe2  îî û A  Ojhê2&&  $êyÊ""rÊ2  "
I'll pay.,Je paierai.,Q2x2êGàbx  H HQH 
I'll try.,J'essaierai.,ÀOA U î OîOÀ UnÀn : qOAOU  nAq KX7înÀ Qw UOwFî8nAq ÀFCK A: înCn O8 
I'm back.,Je suis revenu.,K  7àbx dA7 nbÊ$b2&rà  Gx 
I'm back.,Me revoilà.,"nb92êbà9r$bày À2b9ê2 6$ê 8rêàêê,$2ày 8r&2à&2 U2&2àê0,S 7àbeyàÊ2&, "
I'm bald.,Je suis chauve., wO qFPOUAFU  A8 ÀFCK A: FM  wO 7 Aë FM nUOî A8 
I'm busy.,Je suis occupé.,ÀwnA  nAPOQ COA  MXA8 ÀFCK A: înCn O8 
I'm busy.,Je suis occupée.,7àb0$ À$t2ê0rày Ê2 Cà0àRS QH  
I'm calm.,Je suis calme.,Q0$9ràGàbx nb32êyà9S Q  nb&9r9R0r$b 7àb0à CRy9rhy2 qêRh$ Mrbàb0r2ê$ Q0$9ràGàbx 
I'm cold.,J'ai froid.,7àb0$ Qàb9àbÊ2ê Q  
I'm done.,J'en ai fini.,   U  7 Aë 
I'm fine.,Tout va bien.,K  CO8ÀF O c K  FCFUn QXî  OQn 
I'm fine.,Je vais bien.,ÀFAQFUÀnF  qOAÀn  8O P îFUOQ 
I'm fine.,Ça va.,8àbà K2b&rRb î2tGàeà ë2Ràbeàb K  7àbx CRàtàyà9  Gx 
I'm free!,Je suis libre !,82trêûwàyx 7àbx 5A2Ê2êyàbÊÔ AP 
I'm free.,Je suis libre.,7 AdXO C UFÀ nAO 8X ÀFCCOUÀO Om OUnOXU nA OUA  nFA î Q  
I'm free.,Je suis disponible., qUn À$tt$Êr9r2& c Mrbàb02 MIO 
I'm full.,Je suis repu !,q Uq Qw OA OUKUnQOQ 5îHîHÀÔ 
I'm full.,Je suis rassasié !,8 U  îûw A8 Q w ÀFAQXî  A Q Qw nU c K U AOUQ 72rêR9ûî2Gàb$b QH Hî 
I'm glad.,Je suis content.,QXCCn  nA8XQ Un î c COUÀ A nîO ÀFUKFU  nFA 5KP Ô î 8 
I'm home.,Je suis chez moi.,"K  7àbx AR&àb9àêà Kàêà,kàbeàbS  Gx "
I'm late.,Je suis en retard.,XAnÀUO8n  7 Aë ÀIOÀw UOKX7înÀ  A8 QîFP ën S  HQH 
I'm lazy.,Je suis paresseux.,K  7 Aë  A  U8 OU w  
I'm lazy.,Je suis fainéant.,COUÀ A nî ÀFCCOUÀO7 AëS A  nFA î  QQFÀn  nFA 
I'm lazy.,Je suis paresseuse.,"Q,rb&2r 7àbxSîrtr92Ê "
I'm lazy.,Je suis fainéante.,ÀFCCOUÀn î 7 Aë nA OUA  nFA î KQÀ 
I'm okay.,Je vais bien.,Àê2Êr9  eêr0$y2 Ààêr&h2»rà QHhH  
I'm okay.,Je me porte bien., P Un  U POî  qOAÀnOQ înCn O8 
